- Allande;43.2394661554334,-6.7043491265
- Aller;43.1187299770067,-5.5839309987
- Amieva;43.2502376081895,-5.0910135060
- Aviles;43.360259,-5.844758
- Belmonte-de-Miranda;43.2958819072702,-6.2279990144
- Bimenes;43.3205118635413,-5.5587500676
- Boal;43.4196112368098,-6.8245825138
- Cabrales;43.3166667,-4.85
- Cabranes;43.412339830326,-5.42945326065
- Candamo;43.4547621786172,-6.0539424430
- Cangas-de-Onis;43.3284059519118,-5.0717498560
- Cangas-del-Narcea;43.115465544286,-6.54245976531
- Caravia;43.4672201166711,-5.1878242564
- Carreno;43.5704345851363,-5.7665725934
- Caso;43.360259,-5.844758
- Castrillon;43.5691344694649,-5.9934116573
- Castropol;43.4860108418214,-6.9671061774
- Coana;43.536839934673,-6.75512492356
- Colunga;43.4969486765347,-5.2752198543
- Corvera-de-Asturias;43.5166667,-5.8666667
- Cudillero;43.5615134347732,-6.2325336546
- Degana;42.9512055054401,-6.5700723753
- Franco-El;43.5450994432928,-6.8419746735
- Gijon;43.5293101753168,-5.6773233792
- Gozon;43.6220118431727,-5.8385486829
- Grado;43.3134032486579,-6.0997788411
- Grandas-de-Salime;43.205760308603,-6.89816909375
- Ibias;43.0131142112069,-6.8541865205
- Illano;43.3437131973433,-6.8477699552
- Illas;43.4981852167084,-5.9685482717
- Langreo;43.2915960588684,-5.6993772779
- Laviana;43.2333333,-5.5333333
- Lena;43.1,-5.7333333
- Llanera;43.4426275487326,-5.8573543720
- Llanes;43.4189204416014,-4.7887834529
- Mieres;43.2342843308797,-5.7507060803
- Morcin;43.2637206704847,-5.8931439205
- Muros-de-Nalon;43.5552548247402,-6.0967702725
- Nava;43.3395170723657,-5.4949041870
- Navia;43.5445968630175,-6.6620770476
- Norena;43.4034737619017,-5.7000966965
- Onis;43.3031893137203,-4.9482071534
- Oviedo;43.3579649511212,-5.8733862770
- Parres;43.3743067788796,-5.1756371732
- Penamellera-Alta;43.3238775346524,-4.6911821178
- Penamellera-Baja;43.2952754834831,-4.6107156475
- Pesoz;43.2656754119374,-6.8665229907
- Pilona;43.3157533558083,-5.3257134028
- Ponga;43.1821702147563,-5.1724926679
- Pravia;43.4906323067543,-6.1507957785
- Proaza;43.2354743067377,-6.0339820776
- Quiros;43.1570817778558,-5.9804620458
- Regueras-Las;43.4052088558894,-5.9675894640
- Ribadedeva;43.3813347065366,-4.5575509626
- Ribadesella;43.4533738601054,-5.0707923884
- Ribera-de-Arriba;43.3086985823152,-5.8722418936
- Riosa;43.2236811399569,-5.8793886603
- Salas;43.4079063089782,-6.2309228040
- San-Martin-de-Oscos;43.2761198814511,-6.9366494260
- San-Martin-del-Rey-Aurelio;43.360259,-5.844758
- San-Tirso-de-Abres;43.4022489182605,-7.1361848495
- Santa-Eulalia-de-Oscos;43.2614996198591,-7.0212070511
- Santo-Adriano;43.2851760245315,-5.9836986244
- Sariego;43.4066591874581,-5.5564141691
- Siero;43.3833333,-5.6666667
- Sobrescobio;43.1944093866578,-5.4664815242
- Somiedo;43.0890104933813,-6.2474825292
- Soto-del-Barco;43.5263665978723,-6.0610747957
- Tapia-de-Casariego;43.5471619588026,-6.9251611624
- Taramundi;43.3673375121168,-7.0779860746
- Teverga;43.1500531500138,-6.1155225440
- Tineo;43.3410654538219,-6.4730308102
- Valdes;43.5333823289581,-6.4849972738
- Vegadeo;43.4247894656848,-7.0277282381
- Villanueva-de-Oscos;43.325912861829,-6.99348577867
- Villaviciosa;43.5209609293632,-5.4543010973
- Villayon;43.4213978455857,-6.7075914529
- Yernes-y-Tameza;43.2639291961831,-6.1085198730
